User_ID,h_linear,h_dB
72,3.0229591441915735e-09,-119.99996031312692
73,2.0976720368601776e-08,-119.998089425589
74,4.997270430319494e-09,-119.99989154624507
75,1.0790227334706443e-09,-119.99999494355546
76,1.5350227337546643e-09,-119.99998976675379
77,1.6493489440561115e-09,-119.99998818567772
78,8.397018432926684e-09,-119.99969379010977
79,1.1941302573215461e-08,-119.99938076320427
80,2.3732254508853033e-10,-119.99999975539671
81,1.9359512813715246e-09,-119.99998372307564
82,4.1095380676825694e-08,-119.99267168953816
83,7.65954391827649e-10,-119.99999745205527
84,5.796912903250385e-09,-119.99985406126922
85,3.913591229917402e-09,-119.99993348311395
86,8.910407129552689e-09,-119.99965520404083
87,2.901765232592323e-07,-119.64889629827645
88,6.92081110557533e-08,-119.97924798421155
89,2.491410289934663e-09,-119.9999730428813
90,4.570622863499301e-09,-119.99990927425345
91,7.788054162049263e-08,-119.97373795906876
92,1.6445480862423285e-08,-119.99882559269766
93,8.070970310400381e-10,-119.99999717098227
94,1.8279597733820578e-09,-119.99998548834803
95,3.534651646203646e-08,-119.99457741471191
96,2.0119461592285698e-08,-119.99824236320508
97,2.4480015399725022e-08,-119.99739817796726
98,4.127890018110939e-09,-119.99992599912645
99,3.788641647823234e-08,-119.99377069110723
100,4.7849965389426334e-09,-119.99990056424046
101,2.878566469324631e-09,-119.99996401387895
102,1.1335922556559522e-09,-119.99999441918311
103,2.5378995833413587e-09,-119.99997202746785
104,2.812999975779501e-09,-119.99996563454884
105,1.6499361652233545e-08,-119.99881788565303
106,4.5725139052486235e-09,-119.99990919916527
107,2.343508792448615e-08,-119.99761549490294
108,4.65813474150727e-09,-119.99990576685337
109,1.1696394931062281e-07,-119.94098879838477
110,7.538332419534109e-10,-119.9999975320591
111,1.7651842217642532e-08,-119.99864700331244
112,2.7969951347848405e-09,-119.9999660244861
113,1.820966564417065e-08,-119.9985601532841
114,4.8245987297475345e-09,-119.99989891152308
115,1.0689164276593548e-09,-119.99999503783084
116,2.036859537476214e-08,-119.99819857411555
117,3.963194916567404e-09,-119.99993178627517
118,4.2614670839092436e-09,-119.9999211323965
119,4.041697024738459e-09,-119.99992905720848
120,4.166140880995157e-09,-119.99992462133422
121,2.126660837505453e-08,-119.99803626632291
122,5.079385801822312e-09,-119.99988795277368
123,6.992746672173596e-10,-119.99999787636538
124,4.0488720312570974e-09,-119.99992880510517
125,1.595315860094217e-08,-119.99889484697152
126,1.5247231540548808e-09,-119.99998990361746
127,1.2251722680052558e-09,-119.99999348104024
128,5.437716279941345e-10,-119.99999871584534
129,6.365436388536383e-10,-119.99999824029209
130,1.3286975022894747e-08,-119.9992333481017
131,2.012519132855404e-09,-119.99998241009607
132,5.506046421793687e-09,-119.99986833890416
133,1.2305097370445005e-08,-119.99934246096007
134,2.4744151866622114e-09,-119.99997340940062
135,1.504105227759012e-08,-119.99901759258574
136,1.091421962679458e-08,-119.99948269839764
137,1.5048151675768545e-08,-119.99901666507647
138,1.9716809179960726e-09,-119.99998311672346
139,2.4233876809755386e-09,-119.99997449479446
140,2.3339827430196845e-09,-119.99997634197918
141,4.2859459015265565e-09,-119.99992022373631
142,7.344444457664555e-08,-119.97663673548354
143,1.1913568785717502e-08,-119.99938363602679
144,3.35488650739668e-09,-119.99995111928686
145,3.171485156624708e-09,-119.99995631749923
146,4.7891250080338225e-08,-119.99005054961835
147,1.5028060399157918e-09,-119.9999901917916
148,2.0229378651160844e-09,-119.99998222750054
149,4.35079771179456e-09,-119.99991779126154
150,3.362594747890985e-08,-119.99509218754784
151,6.574088802469751e-09,-119.99981230787164
152,2.7234448266275384e-09,-119.99996778783881
153,6.561775646041771e-09,-119.9998130102864
154,2.918918396514666e-09,-119.99996299790034
155,1.8344942741591197e-09,-119.99998538441169
156,3.6671824457749464e-09,-119.99994159548456
157,9.834954022004442e-09,-119.99957994324197
158,5.779164712691233e-09,-119.99985495351659
159,1.200811662547031e-08,-119.99937381480385
160,9.276741755916256e-09,-119.99962627120667
161,6.943451526286412e-08,-119.9791123142832
162,9.362313707471671e-10,-119.9999961932838
163,4.037125609281035e-09,-119.999929217598
164,1.3342350864017827e-09,-119.9999922687692
165,4.6805512514758944e-09,-119.9999048577179
166,6.854925965285114e-09,-119.99979592977417
167,2.312968300007093e-09,-119.99997676607887
168,2.7249333778778964e-09,-119.99996775261695
169,2.6089113476536166e-08,-119.99704501556769
170,2.0337599993757113e-09,-119.9999820368368
171,1.3789898234027585e-08,-119.99917421850981
172,1.183877778041585e-08,-119.99939135001468
173,3.40791942433292e-09,-119.99994956170177
174,9.610582023692838e-09,-119.99959888986561
175,7.2044090125613986e-09,-119.99977459177323
176,1.6465967172473215e-08,-119.99882266532873
177,1.1310778212405e-07,-119.94479150156599
178,1.711763631890053e-09,-119.9999872746052
179,2.2853653002784944e-08,-119.99773231785659
180,7.164859310434235e-09,-119.9997770597426
181,4.33276084877458e-09,-119.99991847145878
182,1.4804188309568551e-09,-119.99999048183922
183,4.26301254671885e-08,-119.9921146095272
184,6.697050190456026e-10,-119.99999805216879
185,7.096814746290854e-09,-119.99978127404961
186,5.906081602402961e-09,-119.99984851290992
187,4.137821249404181e-08,-119.99257055730351
188,4.6395422366147744e-09,-119.99990651758947
189,9.910144143201988e-09,-119.99957349617672
190,1.0342069843100317e-09,-119.99999535485782
191,3.440790052553806e-09,-119.99994858402349
192,3.6413889270308356e-09,-119.99994241417853
193,1.0828054535342058e-09,-119.99999490804069
194,3.6603716823353173e-09,-119.99994181222166
195,1.0646048725580484e-09,-119.99999507778064
196,6.222282302534564e-09,-119.99983185834176
197,2.9999484723145483e-09,-119.99996091501518
198,3.164242948549826e-09,-119.99995651677176
199,4.094680634415122e-08,-119.9927245383393
